employee_id,first_name,last_name,email,department_id,hire_date,salary
1,John,Doe,john.doe@example.com,1,2020-01-01,50000.00
2,Jane,Smith,jane.smith@example.com,2,2021-03-15,45000.00
3,Michael,Johnson,michael.johnson@example.com,1,2019-06-01,55000.00
4,Emily,Brown,emily.brown@example.com,3,2022-02-01,48000.00
5,David,Lee,david.lee@example.com,2,2018-09-01,52000.00
6,Sarah,Wilson,sarah.wilson@example.com,4,2021-04-15,47000.00
7,Robert,Anderson,robert.anderson@example.com,1,2020-07-01,53000.00
8,Jessica,Thompson,jessica.thompson@example.com,3,2019-11-01,49000.00
9,Daniel,Martinez,daniel.martinez@example.com,2,2022-01-01,46000.00
10,Olivia,Hernandez,olivia.hernandez@example.com,4,2018-05-01,51000.00
11,William,Gonzalez,william.gonzalez@example.com,1,2021-02-15,54000.00
12,Sophia,Diaz,sophia.diaz@example.com,3,2020-09-01,47500.00
13,Alexander,Reyes,alexander.reyes@example.com,2,2019-03-01,48500.00
14,Isabella,Morales,isabella.morales@example.com,4,2022-06-01,50000.00
15,Jacob,Gutierrez,jacob.gutierrez@example.com,1,2018-11-01,52500.00
16,Ava,Ramirez,ava.ramirez@example.com,3,2021-05-15,46000.00
17,Benjamin,Castillo,benjamin.castillo@example.com,2,2019-08-01,49000.00
18,Emma,Flores,emma.flores@example.com,4,2020-03-01,48000.00
19,Mason,Jimenez,mason.jimenez@example.com,1,2021-09-01,53000.00
20,Abigail,Vargas,abigail.vargas@example.com,3,2018-02-01,47500.00
21,Lucas,Rojas,lucas.rojas@example.com,2,2020-12-01,50000.00
22,Mia,Ortiz,mia.ortiz@example.com,4,2019-06-15,48500.00
23,Ethan,Mendoza,ethan.mendoza@example.com,1,2021-03-01,52000.00
24,Isabella,Ramos,isabella.ramos@example.com,3,2018-08-01,47000.00
25,Noah,Salazar,noah.salazar@example.com,2,2020-05-01,49500.00
26,Avery,Navarro,avery.navarro@example.com,4,2019-11-15,48000.00
27,Oliver,Suarez,oliver.suarez@example.com,1,2021-07-01,53500.00
28,Ella,Robles,ella.robles@example.com,3,2018-01-01,46500.00
29,William,Montes,william.montes@example.com,2,2020-09-15,50000.00
30,Sophia,Medina,sophia.medina@example.com,4,2019-04-01,48000.00
31,Alexander,Fernandez,alexander.fernandez@example.com,1,2021-12-01,54000.00
32,Ava,Moreno,ava.moreno@example.com,3,2018-06-01,47000.00
33,Benjamin,Campos,benjamin.campos@example.com,2,2020-02-01,49000.00
34,Emma,Herrera,emma.herrera@example.com,4,2019-09-15,48500.00
35,Mason,Gutierrez,mason.gutierrez@example.com,1,2021-05-01,52500.00
36,Abigail,Reyes,abigail.reyes@example.com,3,2018-12-01,46000.00
37,Lucas,Diaz,lucas.diaz@example.com,2,2020-07-15,50000.00
38,Mia,Ramirez,mia.ramirez@example.com,4,2019-02-01,48000.00
39,Ethan,Castillo,ethan.castillo@example.com,1,2021-10-01,53000.00
40,Isabella,Flores,isabella.flores@example.com,3,2018-04-01,47500.00
41,Noah,Jimenez,noah.jimenez@example.com,2,2020-11-15,49500.00
42,Avery,Vargas,avery.vargas@example.com,4,2019-07-01,48000.00
43,Oliver,Rojas,oliver.rojas@example.com,1,2021-02-01,52000.00
44,Ella,Ortiz,ella.ortiz@example.com,3,2018-09-15,46500.00
45,William,Mendoza,william.mendoza@example.com,2,2020-04-01,50000.00
46,Sophia,Navarro,sophia.navarro@example.com,4,2019-12-01,48500.00
47,Alexander,Suarez,alexander.suarez@example.com,1,2021-06-15,53500.00
48,Ava,Robles,ava.robles@example.com,3,2018-03-01,47000.00
49,Benjamin,Montes,benjamin.montes@example.com,2,2020-08-01,49000.00
50,Emma,Medina,emma.medina@example.com,4,2019-05-15,48000.00
